Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,211.35000610351562,212.60000610351562,208.39999389648438,211.9499969482422,176.96475219726562,6447592
2020-01-02,212.5,212.8000030517578,208.3000030517578,211.10000610351562,176.25506591796875,5958343
2020-01-03,210.0,212.60000610351562,207.6999969482422,211.85000610351562,176.8812713623047,6452638
2020-01-06,209.9499969482422,209.9499969482422,203.4499969482422,205.6999969482422,171.7464141845703,6853058
2020-01-07,206.5,208.1999969482422,204.35000610351562,205.6999969482422,171.7464141845703,5243225
2020-01-08,203.0,204.5500030517578,198.1999969482422,200.1999969482422,167.15426635742188,7295998
2020-01-09,203.25,203.6999969482422,197.35000610351562,198.0,165.31739807128906,10321169
2020-01-10,199.14999389648438,206.5500030517578,198.9499969482422,205.3000030517578,171.4124298095703,13533598
2020-01-13,205.3000030517578,212.0,205.0,211.5500030517578,176.63079833984375,9863555
2020-01-14,211.14999389648438,213.5,209.75,212.9499969482422,177.79971313476562,5417581
2020-01-15,212.60000610351562,214.60000610351562,211.3000030517578,212.4499969482422,177.38221740722656,4863227
2020-01-16,212.4499969482422,212.6999969482422,207.10000610351562,210.25,175.5453643798828,6937929
2020-01-17,210.0,210.5500030517578,206.10000610351562,207.89999389648438,173.58326721191406,5985342
2020-01-20,208.0,209.8000030517578,200.5,201.14999389648438,167.94744873046875,8110607
2020-01-21,201.14999389648438,205.25,201.14999389648438,202.14999389648438,168.78237915039062,6347967
2020-01-22,199.10000610351562,199.39999389648438,190.9499969482422,191.89999389648438,160.22427368164062,19096395
2020-01-23,192.0500030517578,195.1999969482422,189.85000610351562,190.75,159.2641143798828,16369722
2020-01-24,193.0,196.3000030517578,192.14999389648438,193.9499969482422,161.9359130859375,10626281
2020-01-27,193.9499969482422,195.0,192.0,193.35000610351562,161.43495178222656,7195361
2020-01-28,193.89999389648438,194.25,188.39999389648438,189.14999389648438,157.92820739746094,10274562
2020-01-29,191.0,193.0,188.0,191.0500030517578,159.51458740234375,10602818
2020-01-30,191.39999389648438,192.35000610351562,187.5,187.9499969482422,156.92628479003906,10859103
2020-01-31,188.8000030517578,189.4499969482422,180.0,181.6999969482422,151.70794677734375,35281395
2020-02-03,174.89999389648438,179.4499969482422,172.14999389648438,178.64999389648438,149.161376953125,15284598
2020-02-04,180.75,183.0,179.75,182.5,152.37588500976562,10043759
2020-02-05,184.0,184.0,178.5,179.25,149.66233825683594,9468632
2020-02-06,180.1999969482422,181.60000610351562,178.25,179.9499969482422,150.24679565429688,6917941
2020-02-07,180.3000030517578,186.0500030517578,178.10000610351562,185.0500030517578,154.50497436523438,13470302
2020-02-10,184.89999389648438,185.0,177.64999389648438,178.85000610351562,149.32838439941406,19665611
2020-02-11,180.0,181.5,176.25,179.35000610351562,149.745849609375,16397703
2020-02-12,181.0,183.39999389648438,178.1999969482422,180.3000030517578,150.53903198242188,14669421
2020-02-13,180.3000030517578,180.9499969482422,175.85000610351562,177.8000030517578,148.45169067382812,11781999
2020-02-14,178.0,178.89999389648438,174.1999969482422,174.75,145.90512084960938,15392705
2020-02-17,174.75,175.1999969482422,166.8000030517578,167.85000610351562,140.14407348632812,15997350
2020-02-18,168.10000610351562,173.9499969482422,165.0,171.85000610351562,143.48382568359375,27643844
2020-02-19,176.35000610351562,178.5500030517578,174.25,177.75,148.40992736816406,21092109
2020-02-20,177.75,180.25,175.1999969482422,179.35000610351562,149.745849609375,16776977
2020-02-24,178.75,178.89999389648438,173.3000030517578,174.85000610351562,145.98863220214844,9952676
2020-02-25,176.10000610351562,178.6999969482422,174.1999969482422,175.10000610351562,146.19737243652344,13534936
2020-02-26,174.1999969482422,177.75,172.64999389648438,173.8000030517578,145.1119384765625,10925243
2020-02-27,173.75,174.5500030517578,169.60000610351562,174.10000610351562,145.3624267578125,11500515
2020-02-28,171.5500030517578,171.8000030517578,166.75,168.39999389648438,140.60328674316406,14694382
2020-03-02,172.64999389648438,175.0,168.3000030517578,169.35000610351562,141.39646911621094,11962711
2020-03-03,171.35000610351562,179.64999389648438,170.89999389648438,178.1999969482422,148.78565979003906,17015816
2020-03-04,178.25,179.8000030517578,174.10000610351562,178.10000610351562,148.70216369628906,9858330
2020-03-05,180.0,180.1999969482422,172.1999969482422,177.14999389648438,147.9089813232422,12349902
2020-03-06,166.6999969482422,173.0,166.5,168.75,140.8955078125,10629291
2020-03-09,165.8000030517578,166.6999969482422,156.9499969482422,157.9499969482422,131.87820434570312,23967899
2020-03-11,158.10000610351562,169.89999389648438,157.0500030517578,168.0,140.26930236816406,28399797
2020-03-12,161.0,163.0,150.10000610351562,154.5500030517578,129.03941345214844,33250878
2020-03-13,146.25,161.5500030517578,123.6500015258789,154.10000610351562,128.6636962890625,43328010
2020-03-16,150.9499969482422,151.35000610351562,143.10000610351562,143.89999389648438,120.1473388671875,23542677
2020-03-17,145.1999969482422,155.39999389648438,142.3000030517578,145.89999389648438,121.81720733642578,18989633
2020-03-18,151.60000610351562,151.85000610351562,143.0,145.0500030517578,121.1075210571289,18737193
2020-03-19,128.0,133.5,122.0,123.55000305175781,112.46024322509766,28547877
2020-03-20,124.5,135.8000030517578,122.6500015258789,132.8000030517578,120.87997436523438,24022133
2020-03-23,122.5,134.85000610351562,120.05000305175781,127.8499984741211,116.374267578125,17884315
2020-03-24,129.25,135.0,125.44999694824219,127.8499984741211,116.374267578125,9991023
2020-03-25,126.0,129.25,123.69999694824219,124.5,113.32496643066406,8339454
